Aplikacija ukljucena        (11-Nov-16 9:13:32 AM)
Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index[GraphicPlotting.xaml.cs] {private void drawFittingGraphic(bool T3movingDirectionByYAxis = true, int numberOfCallForDrawFitting = 0, bool isAClicked = false, double AClickedXValue = 0, double AClickedYValue = 0))}        (11-Nov-16 9:13:33 AM)
Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index[GraphicPlotting.xaml.cs] {private void drawFittingGraphic(bool T3movingDirectionByYAxis = true, int numberOfCallForDrawFitting = 0, bool isAClicked = false, double AClickedXValue = 0, double AClickedYValue = 0))}        (11-Nov-16 9:13:33 AM)
Aplikacija iskljucena        (11-Nov-16 9:13:45 AM)
Aplikacija ukljucena        (11-Nov-16 9:14:32 AM)
Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index[GraphicPlotting.xaml.cs] {private void drawFittingGraphic(bool T3movingDirectionByYAxis = true, int numberOfCallForDrawFitting = 0, bool isAClicked = false, double AClickedXValue = 0, double AClickedYValue = 0))}        (11-Nov-16 9:14:33 AM)
Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index[GraphicPlotting.xaml.cs] {private void drawFittingGraphic(bool T3movingDirectionByYAxis = true, int numberOfCallForDrawFitting = 0, bool isAClicked = false, double AClickedXValue = 0, double AClickedYValue = 0))}        (11-Nov-16 9:14:34 AM)
Aplikacija iskljucena        (11-Nov-16 9:14:35 AM)
Aplikacija ukljucena        (11-Nov-16 9:18:12 AM)
Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index[GraphicPlotting.xaml.cs] {private void drawFittingGraphic(bool T3movingDirectionByYAxis = true, int numberOfCallForDrawFitting = 0, bool isAClicked = false, double AClickedXValue = 0, double AClickedYValue = 0))}        (11-Nov-16 9:18:14 AM)
Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index[GraphicPlotting.xaml.cs] {private void drawFittingGraphic(bool T3movingDirectionByYAxis = true, int numberOfCallForDrawFitting = 0, bool isAClicked = false, double AClickedXValue = 0, double AClickedYValue = 0))}        (11-Nov-16 9:18:14 AM)
Aplikacija iskljucena        (11-Nov-16 9:18:18 AM)
Aplikacija ukljucena        (11-Nov-16 9:48:06 AM)
Index was out of range. Must be non-negative and less than the size of the collection.
