Aplikacija ukljucena        (12/17/2016 10:38:40 AM)
The process cannot access the file 'C:\Users\labkontrol\Desktop\kidalica novi program\vlatest_15 decembar 2016\testTensileMachineGraphics\bin\Release\configuration\ForceRangesonlineOptions.xml' because it is being used by another process.[OptionsOnline.xaml.cs] {private void writeXMLFile()}        (12/17/2016 10:38:41 AM)
Aplikacija iskljucena        (12/17/2016 10:39:02 AM)
Aplikacija ukljucena        (12/17/2016 10:41:16 AM)
The process cannot access the file 'C:\Users\labkontrol\Desktop\kidalica novi program\vlatest_15 decembar 2016\testTensileMachineGraphics\bin\Release\configuration\ForceRangesonlineOptions.xml' because it is being used by another process.[OptionsOnline.xaml.cs] {private void writeXMLFile()}        (12/17/2016 10:41:17 AM)
The process cannot access the file 'C:\Users\labkontrol\Desktop\kidalica novi program\vlatest_15 decembar 2016\testTensileMachineGraphics\bin\Release\configuration\ForceRangesonlineOptions.xml' because it is being used by another process.[OptionsOnline.xaml.cs] {private void writeXMLFile()}        (12/17/2016 10:43:05 AM)
Aplikacija iskljucena        (12/17/2016 10:45:27 AM)
Aplikacija ukljucena        (12/17/2016 10:45:35 AM)
The process cannot access the file 'C:\Users\labkontrol\Desktop\kidalica novi program\vlatest_15 decembar 2016\testTensileMachineGraphics\bin\Release\configuration\ForceRangesonlineOptions.xml' because it is being used by another process.[OptionsOnline.xaml.cs] {private void writeXMLFile()}        (12/17/2016 10:45:36 AM)
Aplikacija iskljucena        (12/17/2016 10:45:38 AM)
