Parameter name: index[GraphicPlotting.xaml.cs] {private void calculateTotalRelElong(out MyPoint pointOfTearing, out double A)}        (11/19/2016 12:00:58 PM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (11/19/2016 12:00:58 PM)
Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index[GraphicPlotting.xaml.cs] {private void calculateTotalRelElong(out MyPoint pointOfTearing, out double A)}        (11/19/2016 12:00:58 PM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (11/19/2016 12:00:59 PM)
Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index[GraphicPlotting.xaml.cs] {private void calculateTotalRelElong(out MyPoint pointOfTearing, out double A)}        (11/19/2016 12:00:59 PM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (11/19/2016 12:00:59 PM)
Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index[GraphicPlotting.xaml.cs] {private void calculateTotalRelElong(out MyPoint pointOfTearing, out double A)}        (11/19/2016 12:00:59 PM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (11/19/2016 12:00:59 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:01 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:02 PM)
Aplikacija iskljucena        (11/19/2016 12:02:07 PM)
Aplikacija ukljucena        (11/19/2016 12:02:09 PM)
Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index[GraphicPlotting.xaml.cs] {private void calculateTotalRelElong(out MyPoint pointOfTearing, out double A)}        (11/19/2016 12:02:09 PM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (11/19/2016 12:02:10 PM)
Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index[GraphicPlotting.xaml.cs] {private void calculateTotalRelElong(out MyPoint pointOfTearing, out double A)}        (11/19/2016 12:02:10 PM)
[private void setRp02PointCalculated(int indexOfRp02, double x, double y) ]{if (indexOfRp02 == dataReader.FittingPreassureInMPa.Count)}        (11/19/2016 12:02:10 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:14 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:14 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:14 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:14 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:15 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:15 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:16 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:16 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:16 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:16 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:16 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:16 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:16 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:17 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:17 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:18 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:18 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:18 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:18 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:19 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:19 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:19 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:20 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:20 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:21 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:21 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:22 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:23 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:23 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:23 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:24 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:24 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:25 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:25 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:26 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:27 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:27 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:27 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:28 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:28 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:28 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:29 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:29 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:29 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:30 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:30 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:30 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:31 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (11/19/2016 12:02:31 PM)
