Aplikacija ukljucena        (7/21/2020 3:14:47 PM)
The port 'COM21' does not exist.[OnlineMode.xaml.cs] {public OnlineMode(bool simulationM = false)}        (7/21/2020 3:15:02 PM)
The process cannot access the file 'C:\Users\labkontrol\Documents\vlatest_12 april 2017 1920 x 1080 v2\testTensileMachineGraphics\bin\Release\configuration\ForceRangesonlineOptions.xml' because it is being used by another process.[OptionsOnline.xaml.cs] {private void writeXMLFile()}        (7/21/2020 3:15:11 PM)
Aplikacija iskljucena        (7/21/2020 3:15:56 PM)
Aplikacija ukljucena        (7/21/2020 3:16:56 PM)
The port 'COM21' does not exist.[OnlineMode.xaml.cs] {public OnlineMode(bool simulationM = false)}        (7/21/2020 3:16:59 PM)
The process cannot access the file 'C:\Users\labkontrol\Documents\vlatest_12 april 2017 1920 x 1080 v2\testTensileMachineGraphics\bin\Release\configuration\ForceRangesonlineOptions.xml' because it is being used by another process.[OptionsOnline.xaml.cs] {private void writeXMLFile()}        (7/21/2020 3:17:04 PM)
Aplikacija iskljucena        (7/21/2020 3:17:33 PM)
Aplikacija ukljucena        (7/21/2020 3:17:36 PM)
The process cannot access the file 'C:\Users\labkontrol\Documents\vlatest_12 april 2017 1920 x 1080 v2\testTensileMachineGraphics\bin\Release\configuration\ForceRangesonlineOptions.xml' because it is being used by another process.[OptionsOnline.xaml.cs] {private void writeXMLFile()}        (7/21/2020 3:17:42 PM)
The process cannot access the file 'C:\Users\labkontrol\Documents\vlatest_12 april 2017 1920 x 1080 v2\testTensileMachineGraphics\bin\Release\configuration\ForceRangesonlineOptions.xml' because it is being used by another process.[OptionsOnline.xaml.cs] {private void writeXMLFile()}        (7/21/2020 3:18:39 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:22 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:24 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:25 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:25 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:25 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:25 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:26 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:27 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:28 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:30 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:31 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:32 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:33 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:34 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:34 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:35 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:36 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:37 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:40 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:43 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:45 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:46 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:47 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:22:48 PM)
The process cannot access the file 'C:\Users\labkontrol\Documents\vlatest_12 april 2017 1920 x 1080 v2\testTensileMachineGraphics\bin\Release\configuration\ForceRangesonlineOptions.xml' because it is being used by another process.[OptionsOnline.xaml.cs] {private void writeXMLFile()}        (7/21/2020 3:22:50 PM)
Sequence contains no elements[OnlineMode.xaml.cs] {private void callAfterManualStopingTearing()}        (7/21/2020 3:22:53 PM)
Aplikacija iskljucena        (7/21/2020 3:23:00 PM)
Aplikacija ukljucena        (7/21/2020 3:23:02 PM)
The process cannot access the file 'C:\Users\labkontrol\Documents\vlatest_12 april 2017 1920 x 1080 v2\testTensileMachineGraphics\bin\Release\configuration\ForceRangesonlineOptions.xml' because it is being used by another process.[OptionsOnline.xaml.cs] {private void writeXMLFile()}        (7/21/2020 3:23:04 PM)
The process cannot access the file 'C:\Users\labkontrol\Documents\vlatest_12 april 2017 1920 x 1080 v2\testTensileMachineGraphics\bin\Release\configuration\ForceRangesonlineOptions.xml' because it is being used by another process.[OptionsOnline.xaml.cs] {private void writeXMLFile()}        (7/21/2020 3:23:08 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:23:16 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:23:17 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:23:17 PM)
The process cannot access the file 'D:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (7/21/2020 3:23:18 PM)
